wavelength,k,E_abs,E_sca,b
400,0.00959781027688491,754.207928288817,1708.2230455501,0.0112257657363121
402,0.009928756249371,769.188133338116,1705.05641714321,0.0109227371172367
404,0.0103361478505947,786.955976837964,1699.24557726613,0.0105198383241026
406,0.0109920317372741,815.441448885269,1687.88946993301,0.00993654195180915
408,0.0117820788336123,848.301590214707,1675.83124905419,0.00931252643830223
410,0.0126334508596794,881.917770935683,1665.27053269334,0.00873214081434584
412,0.0135469396725306,916.088780678211,1655.63847344025,0.00820482921341207
414,0.0143958481433144,945.792981646299,1648.69148154961,0.00778151615120702
416,0.0151477478402415,970.272276271093,1644.13891940926,0.00744797142828397
418,0.015803757418517,990.001950833723,1641.49347761163,0.00717791556452097
420,0.0163069762925942,1003.62646339027,1641.73190897223,0.00697781531445184
422,0.0167081838672906,1013.34435404405,1644.15244151911,0.00681765617586065
424,0.0171257816261162,1023.18626540691,1647.01661881206,0.00665103160045046
426,0.0176242116503827,1035.19844512897,1649.36666057294,0.00645762783891037
428,0.0183686452665025,1053.80809074319,1648.41965128019,0.00618568153884633
430,0.019470570920201,1080.79974362499,1642.51172314734,0.00581319577676397
432,0.0208154332908085,1111.44622232793,1633.82975116257,0.0053947642585924
434,0.0223164674695488,1142.49899590854,1624.02665075316,0.00496934039138775
436,0.0238551085738372,1171.01384735831,1614.8745919736,0.00457485992830869
438,0.0251206469781568,1191.82561605657,1609.79595768993,0.00427197215946364
440,0.0257994570119617,1201.27128870112,1611.59099232744,0.00409928799375736
442,0.0256417266280374,1196.56487155846,1622.78371992337,0.00408257537305753
444,0.024577433038206,1175.89054735631,1645.45978037252,0.00423800416291336
446,0.0230091915630401,1143.80998678955,1677.30934249426,0.00451986527399806
448,0.0211358965841813,1101.45111995836,1718.07269530003,0.00491508361587194
450,0.0194627151954458,1058.81119224231,1760.62043540222,0.00531638476731604
452,0.0182112793882067,1023.17141287953,1799.04248981564,0.00564076951471104
454,0.0175500284703746,1002.01501067747,1826.98795166168,0.0058082904636517
456,0.0173149726165401,992.674927654386,1846.01966896598,0.00584835074529553
458,0.0174542389049999,994.320940431666,1856.63613814384,0.00577830288038511
460,0.0178311125866946,1002.86807935336,1861.97537958986,0.00564715315261699
462,0.0182454423640221,1012.32689881436,1866.78359120159,0.00551594686060681
464,0.0186218635559709,1020.61107901233,1872.72479829916,0.00540350554116644
466,0.0188719898321758,1025.41150978074,1881.68881866005,0.00532634624623888
468,0.0188735735462864,1023.53394897605,1896.47052353658,0.00530594275870089
470,0.0185938720375233,1013.97294919932,1918.10149836087,0.00534348075801081
472,0.018162787570438,999.896278024399,1943.85240947016,0.00540511627793438
474,0.017536730299509,979.557082262699,1975.43625152139,0.00550158189269098
476,0.0168718343253905,957.060075029968,2009.2926643532,0.00559766913134742
478,0.0163088742356951,936.818041180438,2041.54464543698,0.00566157286428278
480,0.0158341245081306,918.81920021015,2072.42497533686,0.00570164549051524
482,0.0154426957396095,903.269618274373,2101.87703146877,0.00572449437054288
484,0.0151934744428964,892.49672336851,2127.55916574871,0.00571812750698601
486,0.0150180215439244,884.361936215468,2151.26187867269,0.0057015907930406
488,0.0148038053567204,874.938503309974,2176.60355273241,0.0057029984184909
490,0.0145842472766829,865.291070871472,2202.242601995,0.00571017692108762
492,0.0142170769862058,850.1182343614,2233.49199139017,0.00575722855053065
494,0.0137222543107469,829.720323739191,2270.08812983562,0.00583684533843304
496,0.0130421622226619,801.328076700217,2315.13697227941,0.00596526204709072
498,0.0121777434089215,764.039573437104,2369.95895790194,0.00614709052104559
500,0.0112022635008822,719.879857496614,2432.8781748925,0.00637000074244619
502,0.0101712656148532,670.589361671473,2502.55219429084,0.00662733973119709
504,0.00904934242821787,613.858063741371,2581.92432538773,0.00694013009632288
506,0.00786731352033572,550.300310016052,2670.60418966311,0.00730858141767747
508,0.00676824106586824,487.277776537792,2760.45767964227,0.00768691518264566
510,0.00575321858170134,425.485128482794,2850.17335129984,0.00806604254052942
512,0.00480725106042236,364.582443351119,2939.39351811933,0.00843677522612352
514,0.00403461225014159,312.189999998077,3018.94167069543,0.00873588352614468
516,0.00332391425841044,261.886107626258,3095.55737398688,0.00898789079262424
518,0.0027378017767166,218.754474266747,3163.6005462966,0.00915044388944676
520,0.00227778310421305,183.811656607339,3222.34852803857,0.00921594383178627
522,0.00187647497623979,152.632480493504,3277.40404821031,0.00921917395252163
524,0.00165973238795456,135.31568056447,3317.88027944676,0.00911849624962744
526,0.00140161212623886,114.69346280714,3363.53399389915,0.0090320183014425
528,0.00131403022208834,107.39820853988,3395.24811128462,0.00888577196696794
530,0.00120242865392639,98.2590012150261,3430.05234549675,0.0087765705621819
532,0.00111335101978249,90.9252797107468,3463.18914836788,0.00869070207196137
534,0.00103699337516217,84.6197499658804,3494.92914723112,0.0086318266238457
536,0.00104424578025615,84.9313422377448,3517.94920799069,0.00856456089071137
538,0.000966995725303645,78.5791377586061,3547.82064095222,0.00854823726534566
540,0.000987558870422797,79.9287159691446,3567.00993581244,0.00849650457850362
542,0.00096396655783805,77.7873455692392,3589.22510532039,0.0084573734264181
544,0.000902566213151587,72.6768508435115,3614.2259571352,0.00842044562290752
546,0.00092304137415348,73.9728977282768,3630.91350416192,0.0083345981253685
548,0.000898870880226751,71.7809717524802,3651.98863327534,0.00825165922370182
550,0.00089178187420768,70.9299006412806,3671.8698497918,0.00815224596853848
552,0.000895024717386617,70.8927615023159,3691.42425672685,0.00804656469010792
554,0.000887822588931071,70.0687394352311,3712.70303232467,0.00795023239832974
556,0.000908498856486696,71.4049785210384,3731.78225787454,0.00785641994956439
558,0.00091176683798485,71.421241552623,3752.80845967165,0.00778602432716798
560,0.000915034819483003,71.4517709996991,3773.69937716297,0.0077345500602523
562,0.000918302800981157,71.4902895627227,3794.0763430257,0.00770065161610667
564,0.00093929329752699,72.8683315421573,3811.84398813991,0.00767416003618993
566,0.000942624124823185,72.9014452523237,3830.34646755767,0.00766099529095993
568,0.00101734777869443,78.2678916538055,3840.5828975575,0.00762385221277108
570,0.0011104852513918,84.9252750735555,3847.99556862594,0.00757415173681964
572,0.00118627728382975,90.2086126145197,3856.39670286305,0.00751849193076337
574,0.00128060882668992,96.7659043026714,3862.50450705855,0.00744178422826833
576,0.00135746923769457,101.964181551435,3870.21574137948,0.00735507059310918
578,0.00150748215761942,112.331756183574,3870.85014461816,0.00723169405654273
580,0.0015855994845849,117.451984097112,3878.91208412523,0.00712065221281164
582,0.00168250770516476,123.843676562163,3885.53557467422,0.00699851861061486
584,0.00183509730280932,134.045193783209,3887.09265847076,0.00686034793297397
586,0.00193345097674413,140.385888473233,3894.21994090967,0.00674276396095809
588,0.00203243310865936,146.716911860077,3901.35129602093,0.00663351702599213
590,0.00205788565686614,148.006178401852,3915.50237787184,0.00655513381434142
592,0.00215787332155003,154.334709973291,3921.98109917671,0.00646821729818102
594,0.00220249383815943,156.889532905934,3933.28138789626,0.00640732411003457
596,0.00222863769014466,158.186324360285,3945.6528104104,0.00636051735888849
598,0.00217974365926844,154.460192655049,3964.56195412614,0.00633978934554993
600,0.00220588751125367,155.729671533081,3975.30283829498,0.00630214104236629
602,0.00213757412878265,150.697895641389,3994.57383729076,0.00628859045594102
604,0.00214467570396133,150.672070261047,4005.83147708427,0.00625147124480023
606,0.00213273500233346,149.370340790594,4018.535967191,0.00621319592135072
608,0.00219708909952787,153.090310033646,4023.52388637718,0.00614827153619791
610,0.00233849214512106,161.789377350926,4020.96885299688,0.00605765381557492
612,0.00248077503188682,170.425903442568,4018.5035740011,0.00596234837144209
614,0.00270111239982002,183.91301048731,4008.77888992505,0.00584664971524653
616,0.00286476285791986,193.628670392808,4004.82720976323,0.00574549872908328
618,0.00308767690357276,206.892843091137,3995.49613738613,0.00563533629417859
620,0.00325352696460406,216.467783662921,3991.77715889696,0.00554503828345167
622,0.00342038255840402,225.989822133574,3988.01720672879,0.00546399470629843
624,0.00358824368497264,235.45632590528,3984.09163239779,0.0053940476659653
626,0.00367842740516207,240.200778235375,3987.2048677645,0.00535203681515846
628,0.00370991314998082,241.435929758373,3995.42782150463,0.00533372355130694
630,0.00374152458639565,242.663344484167,4003.17243769855,0.00532650251933065
632,0.0037136838978633,240.374958291395,4015.93249432948,0.00534075010864611
634,0.00372543606209704,240.397858313147,4024.43133425222,0.00535457208542242
636,0.00375717319010796,241.561829012204,4030.50824171386,0.00536917008877414
638,0.00376898820013974,241.52987192334,4037.9318701676,0.00538946813092935
640,0.00382102452091804,243.803175223653,4041.17701828586,0.00540048979856488
642,0.00391365922723108,248.370979915803,4040.33535956413,0.00539942964091212
644,0.00404726939386713,255.210292167962,4035.52468577555,0.00538402658711802
