wavelength,k,E_abs,E_sca,b
400,0.00336287865319612,264.630391949886,842.956280802739,0.00902286134118362
402,0.00344158987295309,266.144634737299,843.630092036751,0.00849732411471392
404,0.00355392359466222,268.430443541278,844.166845556696,0.00764695740036977
406,0.00375012503385761,282.104081177661,845.850439922833,0.0084443651987468
408,0.00400193243516005,291.274643776369,836.465937542221,0.00772133024037088
410,0.00428372670899795,301.043924752437,828.021803193591,0.00685486865576015
412,0.00458879278185059,317.31641369462,822.828934556006,0.00726582350894509
414,0.00487255098687729,326.469041695256,812.885184123418,0.00681482982874973
416,0.00512223420020593,332.926608603356,805.716065560271,0.00612651733280938
418,0.0053399414714911,343.473141601921,803.553513348271,0.00638412565438525
420,0.00550406641536615,348.066141742472,799.393400471153,0.00632161667336036
422,0.00562508856865451,348.629036001416,796.409498638672,0.00585247560714605
424,0.0057563357332842,354.765863254642,796.480934734944,0.00604058538958966
426,0.00591601119465792,360.194791693432,792.513716132091,0.00614032380868926
428,0.00617107400829891,364.556058713804,782.688571131492,0.00563087549282746
430,0.00656067710638695,376.433409092327,771.254946844251,0.00539244852550183
432,0.00704933775134788,391.121702069682,756.317467709268,0.00528767681124371
434,0.00760360940946404,402.531374744507,738.020380960423,0.00485749464583361
436,0.00817912923189801,414.294376662799,721.890970298402,0.00446701984826546
438,0.0086639531408885,425.449322760165,710.092767275788,0.00433715027149102
440,0.00894685350077193,430.16865227779,702.423782316745,0.00426155766519392
442,0.00892432642446399,427.610969819558,702.016003681071,0.00425167481862788
444,0.00856219950927965,420.533756150538,711.294993013436,0.00452875097345568
446,0.00801916153756339,409.706468439261,725.587353305369,0.00504822235634654
448,0.00734843347338658,391.551641233469,742.796832743691,0.00552770390372386
450,0.00674633930525081,373.30644716509,760.236096353691,0.00592443756007911
452,0.00629696671093547,361.591052329974,776.041235965918,0.00666520344121788
454,0.0060659015652766,354.616275126519,781.94533069003,0.00719792724857281
456,0.00602384515722728,349.765879263531,778.030585293776,0.00700613219631038
458,0.00615316609814701,352.824704952636,770.86978450464,0.00686258342032011
460,0.00640624926914969,362.505574620324,760.986369072825,0.00703619353345625
462,0.00670339991373901,370.532270113383,746.852403031213,0.00689450281573975
464,0.00701163027252303,376.034846344909,732.112098708591,0.00645290004523898
466,0.0072695525699749,382.423066650003,722.159514873269,0.00631353429842891
468,0.0074036937836044,387.30490484126,716.554118005873,0.0065253417709964
470,0.00739176565113614,386.175528898408,712.579699319385,0.00667004581494099
472,0.00725488121842213,379.777686095702,711.175858007624,0.00667163922693371
474,0.00698400954428383,371.874458044842,715.835145990787,0.00698908378587582
476,0.00663655398065226,363.588733405461,723.94252644696,0.00774955163199598
478,0.00629118803980556,352.672777451912,729.480763585138,0.00836839583852772
480,0.00593741961576073,338.041038127798,733.698951419269,0.0085559193279793
482,0.00561153273001697,325.870358039587,740.600155054739,0.0089261613268211
484,0.00532379952826416,317.558202390892,749.189789131417,0.00990446723296489
486,0.00508694628460567,309.137798049578,752.938612156275,0.0107286124294958
488,0.00486329694311569,297.083840414166,752.347561514244,0.010733755922113
490,0.00465611948529236,286.485039835468,754.5795484427,0.0107667357865103
492,0.00443858503995181,278.985885920242,762.407600523524,0.0117664721085314
494,0.00421447063955632,271.034095346992,768.986784415533,0.0130522083154532
496,0.0039463139038934,256.822979056441,770.898752134761,0.0133750225918822
498,0.00364534223478316,239.134349987829,774.409920012719,0.0130638170468302
500,0.00333239844114603,223.835270840064,786.695041381296,0.0139120483397171
502,0.00301446783343432,209.744921099843,803.192605295159,0.0160551781584333
504,0.00267964427520907,191.645788409076,813.93771166485,0.0176965794705394
506,0.00232775808281558,167.879325118346,817.680005010274,0.0172253322756973
508,0.00200572992907157,146.44363961751,827.719896583886,0.0168961726767438
510,0.00171394631563498,129.165202702418,848.527858156741,0.0189282254897332
512,0.00144153177715476,112.661376903265,868.887648884512,0.0221429257261276
514,0.00121781330528693,96.3582936178898,872.579311846261,0.0230559456000957
516,0.00101825275818622,79.6367249550491,867.309484087236,0.0207617619473213
518,0.000853731885783505,67.0742277496439,875.697534206687,0.0203016713628174
520,0.000724674897215557,58.3411901058635,895.163373578229,0.0228925381568217
522,0.000605261596357064,49.957804919279,910.170308796335,0.0261792149046836
524,0.000549127729546473,45.0491624274688,902.345001002215,0.0259663680000713
526,0.000476845634929139,38.2000864055888,890.041311666684,0.0226194705010319
528,0.00045709005831482,36.4153233526905,893.091223614343,0.0217494241288214
530,0.00043300754850535,35.0495530343877,909.156820550856,0.0241176862613252
532,0.000412909462291705,33.9794525065238,920.796784601097,0.0272305770302484
534,0.0003918089855993,32.0318323949438,914.257827748358,0.0273231932195932
536,0.000405908440389892,32.2061698099706,897.839613381202,0.023761645839179
538,0.00038460057256395,30.2411818039112,900.361607395591,0.0222095091704512
540,0.000397908170299219,31.5815906370764,914.544743891506,0.0235985921178335
542,0.00039171785919214,31.5953949294743,929.521762379095,0.026366164660084
544,0.00038205217545337,30.8305629791743,929.840632832878,0.0274498904327262
546,0.000395466611045311,31.0930490406464,915.31676820303,0.0247588073358946
548,0.000389166319791659,30.066033115102,912.839637026275,0.0223646399285377
550,0.000394907283442742,30.5831408128724,925.079735569182,0.0226424898625472
552,0.000396343309927988,31.1347975291748,943.053642710854,0.0248861686938503
554,0.000402131407927603,31.8517575151754,952.16541594983,0.0269245654499215
556,0.000415812938161219,32.4701916347918,944.616613050183,0.0260630762824362
558,0.000417308668154604,31.8185115011195,936.137870508241,0.0231586533488629
560,0.00041880439814799,31.6577335045516,942.004655097398,0.0218265707095315
